Codigo,Lat,Lon,Area
88690050,-31.8111,-52.3892,57128
88575050,-31.865,-53.2689,1051
88550010,-31.7192,-52.9008,1873
88260000,-32.5194,-53.4558,6920
88150900,-32.8336,-52.6436,0
88060210,-32.5397,-52.5392,0
88060200,-32.5408,-52.5394,0
88009000,-33.5022,-53.1478,4.8
87905000,-31.0119,-52.0525,15600
87795000,-30.7956,-52.6242,181
87790000,-30.7883,-52.6297,180
87785000,-30.7492,-52.6464,170
87550050,-30.9083,-53.8206,1465
87510049,-30.3106,-51.8475,265
87510047,-30.3175,-51.8678,260
87510015,-30.1544,-50.5528,1780
87450004,-30.0211,-51.2211,82400
87401750,-29.9683,-51.0367,0
87399000,-29.9644,-50.9778,1410
87398750,-29.9803,-50.7439,0
87382000,-29.7589,-51.1483,3130
87380000,-29.6917,-51.0461,2900
87376000,-29.6858,-50.8122,2380
87361100,-29.3936,-50.7475,99.79
87361000,-29.3472,-50.7014,10.2
87333000,-29.9094,-50.4253,0
87317030,-29.6519,-50.2092,442
87309010,-29.5097,-50.0911,0
87270000,-29.7011,-51.4411,4360
87242000,-30.1075,-51.3111,0
87241000,-30.38,-51.0061,0
87231100,-29.5803,-50.5561,114
87230000,-29.5906,-51.3136,846
87200000,-29.5011,-51.0022,88
87170000,-29.59,-51.3833,3030
87168000,-29.3828,-51.3689,259
87160000,-29.3356,-51.1889,2030
87150000,-29.3075,-50.9958,1350
87120100,-29.2694,-50.7544,669
87120000,-29.2683,-50.7467,669
87110000,-29.2892,-50.7408,677
87107000,-29.3044,-50.7264,557.19
87100000,-29.3153,-50.6806,517
87075000,-29.3267,-50.6178,408
87072000,-29.3603,-50.5258,133
87070000,-29.2994,-50.5697,96.1
87068000,-29.3,-50.5211,28
87010000,-29.9419,-51.6942,68600
86950000,-29.8069,-51.8758,25900
86895000,-29.6922,-51.97,24600
86881000,-29.6081,-51.9511,23800
86879300,-29.4733,-51.9622,22472
86780000,-29.2239,-52.1622,2077
86746900,-29.3922,-52.0758,414
86744000,-29.0844,-52.2064,647
86743950,-29.0833,-52.2106,647
86743900,-29.0814,-52.2083,600
86743800,-29.0533,-52.2194,564
86743700,-29.0419,-52.2222,564
86720000,-29.2344,-51.855,19100
86520100,-28.3825,-52.2586,684
86520000,-28.3511,-52.2147,123
86510000,-29.1672,-51.8686,16000
86507000,-28.9722,-51.7558,2340
86506000,-28.9639,-51.7583,2320
86505500,-28.9414,-51.7694,2290
86505400,-28.9411,-51.7739,0
